	Music	Slow songs or fast songs	Dance	Folk	Country	Classical music	Musical	Pop	Rock	Metal or Hardrock	Punk	Hiphop, Rap	Reggae, Ska	Swing, Jazz	Rock n roll	Alternative	Latino	Techno, Trance	Opera	Movies	Horror	Thriller	Comedy	Romantic	Sci-fi	War	Fantasy/Fairy tales	Animated	Documentary	Western	Action	History	Psychology	Politics	Mathematics	Physics	Internet	PC	Economy Management	Biology	Chemistry	Reading	Geography	Foreign languages	Medicine	Law	Cars	Art exhibitions	Religion	Countryside, outdoors	Dancing	Musical instruments	Writing	Passive sport	Active sport	Gardening	Celebrities	Shopping	Science and technology	Theatre	Fun with friends	Adrenaline sports	Pets	Flying	Storm	Darkness	Heights	Spiders	Snakes	Rats	Ageing	Dangerous dogs	Fear of public speaking	Healthy eating	Daily events	Prioritising workload	Writing notes	Workaholism	Thinking ahead	Final judgement	Reliability	Keeping promises	Loss of interest	Friends versus money	Funniness	Fake	Criminal damage	Decision making	Elections	Self-criticism	Judgment calls	Hypochondria	Eating to survive	Giving	Compassion to animals	Borrowed stuff	Loneliness	Cheating in school	Health	Changing the past	God	Dreams	Charity	Number of friends	Waiting	New environment	Mood swings	Appearence and gestures	Socializing	Achievements	Responding to a serious letter	Children	Assertiveness	Getting angry	Knowing the right people	Public speaking	Unpopularity	Life struggles	Happiness in life	Energy levels	Small - big dogs	Personality	Finding lost valuables	Getting up	Interests or hobbies	Parents' advice	Questionnaires or polls	Finances	Shopping centres	Branded clothing	Entertainment spending	Spending on looks	Spending on gadgets	Spending on healthy eating	Age	Height	Weight	Number of siblings	Gender_female	Gender_male	Left_right_handed_left handed	Left_right_handed_right handed	Only_child_no	Only_child_yes	Village_town_city	Village_town_village	House_block_of_flats_block of flats	House_block_of_flats_house/bungalow	Smoking	Alcohol	Punctuality	Lying	Internet_usage	Education
217	5.0	3.0	4.0	1.0	3.0	2.0	5.0	4.0	3.0	1.0	2.0	3.0	1.0	2.0	4.0	4.0	3.0	2.0	3.0	5.0	1.0	3.0	5.0	5.0	3.0	2.0	5.0	5.0	4.0	2.0	4.0	2.0	3.0	1.0	2.0	1.0	5.0	4.0	3.0	2.0	2.0	5.0	5.0	5.0	1.0	2.0	1.0	4.0	3.0	4.0	3.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	5.0	5.0	4.0	5.0	3.0	3.0	2.0	4.0	5.0	3.0	3.0	3.0	1.0	1.0	3.0	2.0	5.0	5.0	4.0	3.0	3.0	3.0	4.0	3.0	4.0	4.0	2.0	1.0	3.0	3.0	5.0	5.0	2.0	5.0	3.0	5.0	5.0	3.0	1.0	3.0	4.0	5.0	3.0	1.0	3.0	2.0	3.0	4.0	3.0	2.0	2.0	4.0	3.0	3.0	2.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	1.0	5.0	3.0	4.0	3.0	2.0	2.0	3.0	3.0	2.333333333333333	2.941747572815533	1.693374422187981	1.4	1	0	0	1	1	0	0	1	0	1	1.0	2.0	2.0	2.0	2.0	2.0
66	4.0	3.0	4.0	2.0	2.0	2.0	4.0	5.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	2.0	4.0	5.0	1.0	4.0	3.0	4.0	5.0	3.0	5.0	5.0	5.0	5.0	4.0	3.0	3.0	3.0	2.0	2.0	5.0	5.0	4.0	3.0	2.0	1.0	2.0	1.0	4.0	2.0	1.0	1.0	4.0	2.0	1.0	3.0	1.0	1.0	1.0	5.0	5.0	1.0	3.0	3.0	4.0	2.0	3.6666666666666665	2.0	1.0	3.0	2.0	3.0	5.0	1.0	3.0	2.0	1.0	1.0	3.0	3.0	2.0	3.0	1.0	3.0	3.0	1.0	2.0	5.0	3.0	5.0	2.0	3.0	1.0	3.0	5.0	3.0	3.0	1.0	4.0	3.0	2.0	2.0	3.0	5.0	3.0	3.0	4.0	3.0	1.0	3.0	2.0	4.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	5.0	3.0	2.0	3.0	4.0	4.0	5.0	4.0	1.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	4.0	5.0	2.666666666666666	3.548543689320386	3.4653312788905977	1.4	0	1	0	1	1	0	0	1	0	1	2.0	2.0	3.0	2.0	3.0	3.0
434	5.0	4.0	4.0	1.0	2.0	2.0	3.0	5.0	3.0	1.0	1.0	4.0	3.0	3.0	2.0	1.0	5.0	4.0	1.0	5.0	1.0	3.0	4.0	1.0	4.0	3.0	2.0	3.0	5.0	4.0	5.0	5.0	3.0	2.0	1.0	5.0	4.0	2.0	1.0	5.0	5.0	3.0	4.0	4.0	5.0	3.0	5.0	3.0	1.0	4.0	5.0	1.0	1.0	4.0	5.0	1.0	2.0	4.0	4.0	3.0	5.0	4.0	4.0	2.0	1.0	1.0	2.0	3.0	5.0	2.0	2.0	3.0	2.0	3.0	2.0	1.0	2.0	3.0	2.0	1.0	3.0	3.0	4.0	1.0	4.0	4.0	5.0	2.0	1.0	3.0	5.0	1.0	1.0	1.0	5.0	4.0	4.0	5.0	4.0	5.0	2.0	3.0	1.0	3.0	1.0	4.0	3.0	5.0	4.0	2.0	3.0	3.0	5.0	4.0	5.0	1.0	4.0	2.0	4.0	4.0	3.0	2.0	3.0	3.0	4.0	4.0	1.0	2.0	4.0	5.0	2.0	5.0	4.0	3.0	2.0	3.6699029126213567	3.4653312788905977	1.4	0	1	0	1	1	0	1	0	1	0	2.0	2.0	3.0	2.0	2.0	3.0
739	5.0	3.0	3.0	5.0	1.0	5.0	3.0	3.0	3.0	1.0	1.0	1.0	2.0	5.0	4.0	4.0	4.0	1.0	5.0	5.0	1.0	1.0	4.0	4.0	2.0	1.0	5.0	4.0	3.0	1.0	3.0	5.0	1.0	1.0	5.0	3.0	3.0	1.0	5.0	5.0	5.0	5.0	2.0	5.0	4.0	2.0	1.0	5.0	4.0	5.0	3.0	5.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	5.0	5.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0	5.0	5.0	3.0	3.0	4.0	5.0	1.0	4.0	4.0	2.0	1.0	3.0	5.0	5.0	3.0	1.0	1.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	5.0	4.0	3.0	4.0	3.0	5.0	5.0	3.0	5.0	1.0	1.0	5.0	5.0	4.0	3.0	1.0	5.0	4.0	3.0	4.0	3.0	3.0	5.0	5.0	5.0	5.0	1.0	3.0	1.0	4.0	4.0	3.0	1.0	2.0	2.0	2.33495145631068	2.0785824345146366	2.2	0	1	0	1	0	1	1	0	1	0	2.0	3.0	2.0	2.0	2.0	4.0
804	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	5.0	4.0	4.4960079840319365	4.0	3.0	5.0	2.0	3.0	4.0	3.0	5.0	5.0	5.0	5.0	1.0	1.0	5.0	5.0	1.0	1.0	1.0	1.0	3.0	3.777	1.0	3.0	5.0	1.0	2.0	3.6886886886886887	4.0	1.0	1.0	2.0	3.2907092907092905	5.0	1.0	5.0	5.0	1.0	5.0	2.9500998003992014	5.0	2.0	1.0	2.0	3.0	1.0	5.0	1.0	2.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	1.0	2.0	3.0	3.0	4.0	2.0	2.0	4.0	2.9521435692921236	5.0	5.0	2.0	5.0	1.0	5.0	3.0	3.0	3.0	3.0	1.0	5.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	2.0	4.0	3.0	3.0	3.0	2.666666666666666	3.6699029126213567	3.1571648690292733	1.4	1	0	0	1	1	0	0	1	0	1	2.0	2.0	1.0	2.0	1.0	3.0
431	4.0	3.0	4.0	1.0	3.0	2.0	3.0	2.0	2.0	1.0	1.0	3.0	3.0	3.0	2.0	2.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	3.0	3.0	2.0	4.0	5.0	4.0	3.0	5.0	2.0	1.0	2.0	5.0	5.0	5.0	5.0	3.0	3.0	3.0	2.0	3.0	4.0	2.0	1.0	5.0	2.0	2.0	4.0	1.0	1.0	1.0	4.0	1.0	3.0	2.0	2.0	5.0	4.0	5.0	4.0	3.0	3.0	2.0	1.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	2.0	4.0	2.0	2.0	3.0	4.0	3.0	3.0	3.0	2.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	5.0	3.0	4.0	2.0	4.0	3.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	2.0	4.0	5.0	3.0	3.0	4.0	3.0	4.0	3.0	1.0	3.0	3.0	4.0	4.0	5.0	4.0	3.0	4.0	3.0	4.0	4.0	2.333333333333333	3.7912621359223273	3.080123266563942	1.8	0	1	1	0	1	0	0	1	0	1	2.0	1.0	3.0	2.0	2.0	3.0
311	5.0	4.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0	2.0	2.0	5.0	5.0	5.0	3.0	3.0	5.0	2.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	3.0	4.0	5.0	5.0	3.0	5.0	5.0	3.0	3.0	3.0	1.0	4.0	3.0	5.0	4.0	3.0	5.0	5.0	5.0	2.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	2.0	5.0	4.0	2.0	3.0	4.0	3.0	5.0	5.0	5.0	2.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	3.0	1.0	2.0	3.0	5.0	3.0	2.0	3.0	4.0	2.0	5.0	3.0	5.0	2.0	5.0	3.0	5.0	1.0	5.0	5.0	5.0	1.0	1.0	5.0	5.0	5.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	5.0	3.0	5.0	3.0	3.0	3.0	2.0	5.0	1.0	5.0	3.0	5.0	3.0	5.0	5.0	3.0	3.0	1.0	1.0	5.0	4.0	5.0	3.0	5.0	1.0	5.0	5.0	5.0	5.0	2.0	1.6067961165048565	1.462249614791987	1.0	1	0	0	1	0	1	1	0	1	0	3.0	2.0	3.0	1.0	2.0	4.0
324	5.0	3.0	4.0	2.0	2.0	2.0	2.0	5.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	5.0	2.0	3.0	5.0	5.0	3.0	2.0	4.0	4.0	3.0	2.0	4.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	4.0	2.0	2.0	3.0	3.0	4.0	2.0	1.0	2.0	4.0	4.0	2.0	2.0	1.0	3.0	1.0	1.0	4.0	4.0	2.0	3.0	5.0	4.0	3.0	3.0	2.0	2.0	1.0	2.0	3.0	4.0	3.0	4.0	5.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	4.0	4.0	2.0	4.0	4.0	2.0	3.0	3.0	4.0	3.0	3.0	2.0	2.0	4.0	3.0	4.0	3.0	4.0	4.0	3.0	5.0	4.0	2.0	3.0	4.0	3.0	3.0	4.0	3.0	2.0	4.0	5.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	2.0	1.7281553398058271	2.0785824345146366	1.4	1	0	0	1	1	0	1	0	1	0	1.0	2.0	1.0	2.0	2.0	2.0
498	5.0	3.0	3.0	2.0	1.0	3.0	2.0	2.0	4.0	1.0	1.0	1.0	3.0	2.0	3.0	5.0	3.0	1.0	1.0	5.0	1.0	1.0	4.0	3.0	2.0	4.0	5.0	5.0	4.0	2.0	3.0	4.0	4.0	3.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	5.0	3.0	5.0	4.0	3.0	2.0	2.0	3.0	5.0	4.0	4.0	1.0	5.0	1.0	3.0	1.0	2.0	2.0	3.0	5.0	1.0	5.0	4.0	1.0	1.0	4.0	1.0	4.0	3.0	3.0	4.0	3.0	1.0	3.0	1.0	4.0	2.0	2.0	4.0	2.0	4.0	1.0	5.0	3.0	2.0	1.0	2.0	5.0	4.0	3.0	2.0	1.0	4.0	3.0	3.0	3.0	5.0	4.0	3.0	5.0	4.0	1.0	4.0	3.0	3.0	2.0	3.0	2.0	3.0	4.0	4.0	3.0	2.0	2.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0	2.0	5.0	2.0	3.0	2.0	2.0	1.0	3.0	5.0	3.0	1.0	2.0	2.333333333333333	1.9708737864077683	1.0	2.2	1	0	0	1	1	0	0	1	0	1	2.0	2.0	2.0	2.0	2.0	3.0
568	5.0	4.0	5.0	2.0	1.0	2.0	1.0	5.0	3.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	3.0	3.0	1.0	5.0	2.0	3.0	5.0	5.0	1.0	1.0	2.0	4.0	5.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	5.0	4.0	3.0	2.0	1.0	2.0	5.0	5.0	2.0	1.0	2.0	1.0	1.0	5.0	4.0	2.0	1.0	5.0	2.0	2.0	5.0	5.0	1.0	1.0	5.0	2.0	1.0	2.0	5.0	3.0	3.0	3.0	5.0	4.0	4.0	5.0	3.0	3.0	2.0	2.0	5.0	1.0	3.0	1.0	4.0	4.0	5.0	3.0	5.0	2.0	1.0	3.0	2.0	2.0	4.0	1.0	1.0	2.0	5.0	1.0	4.0	5.0	4.0	4.0	2.0	4.0	2.0	4.0	2.0	4.0	2.0	4.0	2.0	3.0	3.0	4.0	3.0	3.0	5.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	2.0	4.0	2.0	3.0	4.0	2.0	2.0	3.0	2.0	2.0	3.666666666666666	2.2135922330097095	2.0015408320493053	1.4	1	0	0	1	1	0	1	0	1	0	2.0	2.0	1.0	2.0	1.0	4.0
599	5.0	4.0	5.0	3.0	4.0	2.0	2.0	5.0	4.0	3.0	3.0	4.0	4.0	2.0	4.0	4.0	2.0	3.0	1.0	5.0	4.0	5.0	5.0	3.0	4.0	5.0	5.0	5.0	5.0	3.0	5.0	4.0	3.0	3.0	4.0	2.0	4.0	4.0	5.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0	4.0	2.0	3.0	4.0	3.0	2.0	2.0	5.0	4.0	1.0	3.0	3.0	2.0	2.0	5.0	4.0	2.0	3.0	1.0	2.0	4.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	4.0	2.0	2.0	3.0	2.0	4.0	3.0	4.0	2.0	5.0	4.0	2.0	5.0	4.0	3.0	4.0	3.0	1.0	1.0	2.0	4.0	4.0	2.0	3.0	3.0	3.0	5.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	2.0	3.0	3.0	4.0	2.0	5.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	3.0	3.0	3.0	2.333333333333333	3.6699029126213567	3.542372881355929	1.4	0	1	0	1	1	0	1	0	1	0	1.0	3.0	1.0	2.0	2.0	3.0
102	5.0	3.0	1.0	2.0	3.0	5.0	4.0	1.0	5.0	2.0	5.0	1.0	4.0	5.0	5.0	5.0	2.0	1.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	4.0	2.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	2.0	4.0	2.0	5.0	4.0	4.0	2.0	1.0	5.0	2.0	1.0	1.0	2.0	4.0	5.0	3.0	1.0	1.0	2.0	4.0	1.0	1.0	1.0	4.0	2.0	1.0	3.0	4.0	4.0	5.0	5.0	5.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.973947895791583	3.0	3.0	3.0	3.0	3.0	4.0	4.0	5.0	3.0	4.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.666666666666666	1.7281553398058271	1.3081664098613244	1.0	1	0	0	1	0	1	1	0	1	0	2.0	2.0	3.0	3.0	2.0	3.0
116	5.0	3.0	2.0	2.0	2.0	2.0	1.0	3.0	5.0	1.0	2.0	1.0	1.0	2.0	4.0	5.0	2.0	1.0	1.0	4.0	1.0	2.0	5.0	5.0	3.0	3.0	5.0	5.0	3.0	1.0	2.0	2.0	4.0	2.0	1.0	2.0	3.0	1.0	1.0	1.0	3.0	5.0	1.0	4.0	1.0	1.0	1.0	2.0	2.0	3.0	1.0	5.0	5.0	1.0	1.0	1.0	1.0	3.0	1.0	2.0	3.6666666666666665	1.0	4.0	4.0	2.0	5.0	5.0	5.0	5.0	1.0	3.0	5.0	4.0	2.0	3.0	1.0	1.0	1.0	5.0	3.0	3.0	4.0	1.0	5.0	3.0	2.0	1.0	5.0	5.0	5.0	3.0	1.0	2.0	4.0	5.0	5.0	5.0	2.0	4.0	3.0	5.0	3.0	1.0	1.0	3.0	1.0	4.0	4.0	2.0	3.0	5.0	3.0	1.0	3.0	1.0	5.0	5.0	5.0	2.0	1.0	2.0	2.0	3.0	5.0	1.0	4.0	4.0	3.0	1.0	1.0	1.0	2.0	1.0	4.0	3.0	1.8495145631067977	1.7704160246533114	1.4	1	0	0	1	1	0	1	0	1	0	3.0	2.0	3.0	3.0	2.0	4.0
667	5.0	3.0	1.0	2.0	3.0	4.0	2.0	2.0	5.0	5.0	1.0	2.0	2.0	4.0	5.0	5.0	4.0	1.0	2.0	4.0	4.0	4.0	2.0	2.0	5.0	3.0	4.0	3.0	5.0	1.0	2.0	2.0	5.0	2.0	4.0	4.0	3.0	5.0	1.0	5.0	3.0	4.0	3.0	4.0	2.517	1.0	1.0	4.0	4.0	5.0	1.0	5.0	4.0	3.0	3.0	1.0	1.0	2.0	5.0	4.0	2.3333333333333335	1.0	2.0	1.0	3.0	3.0	4.0	2.0	1.0	1.0	4.0	1.0	2.0	3.0	2.0	3.0	2.0	5.0	2.0	1.0	4.0	4.0	3.0	3.0	2.0	2.0	4.0	3.0	4.0	3.0	4.0	2.0	2.0	3.0	5.0	3.0	4.0	1.0	3.0	2.0	1.0	3.0	2.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	2.0	4.0	4.0	3.0	3.0	3.0	3.0	5.0	2.0	3.0	3.0	2.0	4.0	3.0	3.0	5.0	2.0	5.0	3.912621359223298	3.3882896764252664	1.4	0	1	0	1	1	0	1	0	1	0	3.0	2.0	3.0	2.0	2.0	3.0
849	5.0	4.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	5.0	3.0	2.0	2.0	2.0	3.0	3.0	1.0	5.0	3.0	5.0	5.0	2.0	5.0	5.0	3.0	3.0	4.0	2.0	5.0	4.0	4.0	1.0	3.0	1.0	4.0	4.0	5.0	3.0	2.0	1.0	5.0	4.0	2.0	4.0	5.0	2.0	2.0	3.0	2.0	1.0	1.0	5.0	5.0	2.0	5.0	4.0	3.0	1.0	5.0	4.0	5.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	4.0	5.0	2.0	1.0	1.0	5.0	3.0	5.0	5.0	4.0	4.0	2.0	2.0	5.0	2.0	1.0	3.0	5.0	1.0	3.0	2.0	5.0	5.0	1.0	5.0	2.0	2.0	4.0	4.0	3.0	4.0	3.0	4.0	2.0	4.0	3.0	3.0	1.0	4.0	3.0	2.0	4.0	3.0	3.0	2.0	5.0	4.0	3.0	4.0	3.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	3.0	2.333333333333333	2.5776699029126213	2.848998459167948	1.8	1	0	1	0	1	0	0	1	0	1	4.0	1.0	1.0	3.0	1.0	4.0
502	5.0	4.0	4.0	3.0	2.0	4.0	2.0	2.0	5.0	3.0	4.0	3.0	3.0	4.0	5.0	3.0	1.0	3.0	3.0	5.0	3.0	5.0	4.0	2.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	2.0	1.0	4.0	3.0	1.0	5.0	5.0	4.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0	5.0	1.0	1.0	2.0	1.0	3.0	1.0	2.0	3.0	1.0	1.0	4.0	5.0	1.0	5.0	3.0	1.0	2.0	1.0	1.0	2.0	3.0	3.0	1.0	2.0	3.0	2.0	3.0	2.0	4.0	2.0	5.0	4.0	3.0	5.0	5.0	2.0	2.0	4.0	2.0	1.0	4.0	5.0	2.0	5.0	2.0	1.0	2.973973973973974	2.0	4.0	2.0	5.0	2.0	2.0	4.0	4.0	1.0	4.0	3.0	5.0	1.0	3.0	3.0	4.0	2.0	3.0	5.0	1.0	5.0	2.0	2.0	1.0	4.0	4.0	3.0	4.0	1.0	2.0	4.0	4.0	2.7532467532467533	2.0	5.0	5.0	4.0	4.0	5.0	5.0	3.333333333333333	4.762135922330096	3.6964560862865916	3.4000000000000004	0	1	0	1	1	0	0	1	0	1	2.0	3.0	2.0	3.0	1.0	5.0
250	5.0	3.0	3.0	2.0	1.0	2.0	2.0	4.0	3.0	2.0	2.0	4.0	4.0	2.0	2.0	2.0	4.0	2.0	1.0	5.0	3.0	5.0	5.0	5.0	4.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	4.0	3.0	4.0	1.0	1.0	5.0	2.0	4.0	1.0	1.0	1.0	1.0	2.0	4.0	3.0	1.0	2.0	5.0	3.0	1.0	4.0	5.0	1.0	3.0	5.0	4.0	1.0	3.0	5.0	4.0	2.0	1.0	1.0	2.0	3.0	3.0	2.0	3.0	2.0	1.0	4.0	2.0	2.0	2.0	4.0	4.0	1.0	2.0	4.0	2.0	1.0	2.0	4.0	4.0	3.0	2.0	1.0	3.0	3.0	4.0	3.0	5.0	4.0	2.0	4.0	3.0	2.0	4.0	2.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	2.0	3.0	2.0	5.0	3.0	4.0	2.0	4.0	5.0	3.0	3.0	4.0	2.0	5.0	2.666666666666666	2.699029126213592	1.924499229583974	1.0	1	0	0	1	0	1	1	0	1	0	2.0	2.0	3.0	2.0	2.0	3.0
301	4.0	2.0	1.0	2.0	1.0	5.0	2.0	1.0	5.0	5.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	4.0	5.0	1.0	3.0	4.0	2.0	4.0	5.0	5.0	2.0	5.0	4.0	5.0	5.0	5.0	2.0	2.0	4.0	3.0	4.0	1.0	2.0	3.0	4.0	4.0	1.0	2.0	2.0	2.0	3.0	2.0	4.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	5.0	4.0	3.6666666666666665	1.0	3.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	2.0	2.0	5.0	2.0	4.0	4.0	4.0	3.0	3.0	2.0	4.0	3.0	1.0	4.0	1.0	4.0	2.0	2.0	1.0	3.0	4.0	4.0	2.0	5.0	2.0	4.0	4.0	1.0	2.0	2.0	4.0	1.0	2.0	4.0	2.0	5.0	3.0	2.0	3.0	2.0	4.0	4.0	2.0	1.0	4.0	2.0	4.0	2.0	4.0	1.0	4.0	4.0	2.0	4.0	1.0	4.0	3.0	3.0	2.0	4.0	2.666666666666666	4.39805825242718	4.158705701078579	1.4	0	1	0	1	1	0	1	0	0	1	1.0	2.0	1.0	3.0	2.0	4.0
664	5.0	3.0	1.0	2.0	1.0	3.0	1.0	2.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	3.0	4.0	4.0	5.0	2.0	3.0	5.0	3.0	2.0	4.0	2.0	3.0	4.0	3.0	2.0	4.0	4.0	4.0	1.0	1.0	5.0	4.0	1.0	2.0	1.0	3.0	3.0	4.0	1.0	2.0	2.0	5.0	1.0	5.0	2.0	2.0	1.0	4.0	3.0	2.0	1.0	3.0	4.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	3.0	4.0	4.0	4.0	4.0	3.0	5.0	3.0	4.0	2.0	4.0	3.0	3.0	5.0	5.0	2.0	5.0	4.0	5.0	4.0	5.0	1.0	1.0	1.0	5.0	4.0	3.0	5.0	3.0	2.0	2.0	3.0	1.0	3.0	3.0	5.0	3.0	3.0	4.0	3.0	4.0	5.0	5.0	3.0	1.0	4.0	3.0	2.0	4.0	4.0	4.0	3.0	1.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	2.0	2.0	5.0	2.666666666666666	2.33495145631068	1.0	1.4	1	0	0	1	1	0	0	1	0	1	1.0	1.0	3.0	2.0	2.0	5.0
683	5.0	5.0	5.0	1.0	1.0	2.0	3.0	5.0	4.0	1.0	2.0	4.0	2.0	2.0	3.0	2.0	4.0	1.0	1.0	5.0	2.0	4.0	5.0	4.0	2.0	1.0	5.0	3.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0	1.0	5.0	5.0	3.0	4.0	1.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0	5.0	4.0	3.0	2.0	5.0	4.0	5.0	4.0	5.0	1.0	2.0	3.6666666666666665	1.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	5.0	1.0	3.0	4.0	3.0	4.0	4.0	4.0	2.0	4.0	4.0	5.0	5.0	2.0	4.0	4.0	1.0	1.0	4.0	3.0	3.0	3.0	1.0	2.0	4.0	5.0	5.0	2.0	3.0	3.0	1.0	4.0	3.0	2.0	4.0	3.0	2.0	2.0	4.0	3.0	2.0	1.0	4.0	1.0	2.0	2.0	5.0	4.0	4.0	4.0	4.0	1.0	4.0	4.0	3.0	3.0	3.0	2.0	2.0	5.0	4.0	3.0	3.0	3.0	2.0	5.0	1.3640776699029118	1.462249614791987	1.4	1	0	0	1	0	1	0	1	0	1	1.0	1.0	3.0	3.0	3.0	3.0
297	5.0	3.0	2.0	1.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	1.0	3.0	3.0	2.0	4.0	2.0	4.0	2.0	5.0	2.0	2.0	4.0	3.0	4.0	2.0	2.0	3.0	2.0	2.0	3.0	1.0	4.0	1.0	3.0	3.0	5.0	3.0	1.0	4.0	4.0	5.0	1.0	3.0	5.0	1.0	2.0	3.0	4.0	3.0	1.0	2.0	3.0	4.0	1.0	3.0	1.0	1.0	3.0	2.0	5.0	2.0	3.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	1.0	3.0	2.0	4.0	1.0	3.0	3.0	4.0	3.0	5.0	2.0	1.0	4.0	3.0	5.0	2.0	2.0	2.0	2.0	4.0	4.0	4.0	3.0	3.0	3.0	1.0	4.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	4.0	3.0	3.0	3.0	1.0	2.0	3.0	5.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	2.0	2.0	3.0	4.0	3.0	2.0	4.0	3.0	2.333333333333333	4.0339805825242685	3.4653312788905977	1.0	0	1	0	1	0	1	0	1	0	1	3.0	2.0	2.0	3.0	2.0	3.0
